DynoWare,Version 2.5.1.2
Path:,C:\Users\Administrator\Desktop\20180315\
Filename:,6-n6000f600ap3ae25.dwd
Config ID:,6-n6000f600ap3ae25.cfg
Setup ID:,0
Manipulated:,0
Filename 1:, 
Filename 2:, 
Date:, 
Time:, 
Sampling rate [Hz]:,10000
Measuring time [s]:,50
Delay time [s]:,0
Cycle time [s]:,0
Cycles:,1
Samples per channel:,500001
Cycle interval:,0
Cycle No:,1
Time,Fx,Fy,Fz
s,N,N,N
5.0488,183.014,-160.309,70.1294
5.0489,221.649,-133.575,79.4678
5.049,253.51,-124.42,88.0737
5.0491,271.545,-138.428,102.997
5.0492,285.461,-155.823,113.8
5.0493,292.145,-160.217,115.723
5.0494,291.412,-156.189,112.701
5.0495,290.131,-139.069,104.095
5.0496,290.405,-105.743,100.983
5.0497,288.025,-59.4177,95.9473
5.0498,286.102,-15.1062,99.2432
5.0499,282.623,16.571,92.3767
5.05,271.912,30.8533,95.2148
5.0501,256.531,34.1492,99.7009
5.0502,241.882,29.2969,107.208
5.0503,235.657,30.7617,121.307
5.0504,230.621,39.8254,126.16
5.0505,238.495,61.2488,118.469
5.0506,248.383,87.2498,100.342
5.0507,247.284,115.54,83.2214
5.0508,237.671,134.308,75.6226
5.0509,229.156,143.372,81.2988
5.051,218.079,149.78,80.5664
5.0511,199.219,153.534,86.7004
5.0512,176.331,155.365,88.5315
5.0513,155.09,149.414,92.3767
5.0514,140.991,145.752,93.2007
5.0515,130.92,149.323,88.7146
5.0516,129.547,149.872,76.355
5.0517,138.885,153.992,69.0308
5.0518,143.646,140.808,31.4026
5.0519,130.371,99.4263,12.2681
5.052,95.3979,6.04248,27.0081
5.0521,29.0222,-94.2993,38.269
5.0522,-47.4243,-154.999,38.8184
5.0523,-113.8,-171.57,31.311
5.0524,-163.422,-153.442,39.7339
5.0525,-173.309,-115.906,47.2412
5.0526,-139.893,-78.8269,58.5938
5.0527,-84.3201,-44.4031,62.9883
5.0528,-24.7192,-24.9023,58.5938
5.0529,32.5012,-37.9944,54.3823
5.053,86.792,-76.5381,56.1218
5.0531,130.188,-114.716,59.3262
5.0532,141.357,-145.111,64.0869
5.0533,125.061,-164.886,67.9321
5.0534,100.159,-167.999,60.8826
5.0535,72.7844,-158.661,42.1143
5.0536,51.2695,-130.188,36.8958
5.0537,38.8184,-95.4895,35.614
5.0538,32.135,-65.7349,33.0505
5.0539,41.1072,-50.0793,34.8816
5.054,65.0024,-63.6292,46.9666
5.0541,92.8345,-90.0879,63.2629
5.0542,121.674,-112.427,71.8689
5.0543,152.161,-128.723,76.0803
5.0544,176.422,-132.385,70.0378
5.0545,190.247,-119.934,61.5234
5.0546,192.535,-86.6089,52.0935
5.0547,176.514,-41.2903,45.5017
5.0548,149.78,-4.30298,50.0793
5.0549,119.934,12.4512,42.8467
5.055,93.2922,12.2681,48.3398
5.0551,77.6367,-0.457764,47.8821
5.0552,75.531,-13.6414,49.4385
5.0553,85.0525,-24.1699,53.5583
5.0554,99.0601,-25.5432,57.4036
5.0555,117.096,-13.1836,58.8684
5.0556,135.315,15.0146,48.9807
5.0557,149.963,45.2271,42.3889
5.0558,144.653,65.094,36.1633
5.0559,122.589,71.228,27.4658
5.056,94.9402,68.4814,17.6697
5.0561,60.8826,53.5583,13.2751
5.0562,13.916,35.1563,15.564
5.0563,-18.3105,19.5007,10.8948
5.0564,-37.7197,13.916,19.8669
5.0565,-27.1912,23.7122,24.4446
5.0566,2.38037,37.1704,28.0151
5.0567,49.7131,43.8538,63.6292
5.0568,95.1233,21.2402,99.1516
5.0569,66.8335,-37.4451,97.0459
5.057,-22.9797,-124.512,93.8416
5.0571,-117.371,-216.339,80.2002
5.0572,-200.592,-291.779,76.4465
5.0573,-235.199,-334.625,84.5947
5.0574,-223.48,-341.4,109.039
5.0575,-186.768,-319.702,134.033
5.0576,-117.92,-270.447,134.125
5.0577,-29.2053,-218.262,120.483
5.0578,58.4106,-182.007,113.159
5.0579,128.174,-163.239,113.068
5.058,172.852,-173.492,117.554
5.0581,192.444,-206.543,124.237
5.0582,193.542,-251.587,120.392
5.0583,179.718,-288.116,114.99
5.0584,157.837,-300.11,98.877
5.0585,144.287,-290.131,83.8623
5.0586,147.308,-251.495,75.8972
5.0587,161.957,-201.874,73.5168
5.0588,190.063,-163.971,77.4536
5.0589,225.494,-135.864,82.0313
5.059,261.108,-121.033,92.1936
5.0591,276.306,-129.73,99.7009
5.0592,284.271,-149.872,103.821
5.0593,291.412,-160.034,114.807
